cve,severity,reward,bug_tracker_ids,bug_tracker_urls,description,reporter,report_date,release_published,release_post_url,fix_commit_urls,fix_cl_urls,fix_subjects
CVE-2024-10230,High,TBD,371565065,https://issues.chromium.org/issues/371565065,Type Confusion in V8,Seunghyun Lee (@0x10n),2024-10-05,2024-10-29T16:14:00.001-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-chromeos_29.html,https://chromium.googlesource.com/v8/v8/+/5fcbf3954eb9f7f8221f068b5324e5b6f04b5839 | https://chromium.googlesource.com/v8/v8/+/eb7b54834daeda95e4c3f11b3fdea027c6e8d4ae,https://chromium-review.googlesource.com/c/v8/v8/+/5921410 | https://chromium-review.googlesource.com/c/v8/v8/+/5953253,[wasm] Don't tier up wrapper if signature depends on other instance | [wasm] Tier up all wasm-to-js wrappers again
CVE-2024-10231,High,TBD,372269618,https://issues.chromium.org/issues/372269618,Type Confusion in V8,Seunghyun Lee (@0x10n),2024-10-09,2024-10-29T16:14:00.001-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-chromeos_29.html,https://chromium.googlesource.com/v8/v8/+/e7ccf0af1bdddd20dc58e1790a94739dba0209a3 | https://chromium.googlesource.com/v8/v8/+/0df9105b154dc5627d81595b9aa379208d119fc2 | https://chromium.googlesource.com/v8/v8/+/be8ace6daaea44550f89355ca429811bfecca1d5 | https://chromium.googlesource.com/v8/v8/+/160612a75397f9048e3824d5177ed702742f22ff | https://chromium.googlesource.com/v8/v8/+/d9893f4856af26e78ba5021063ee2b1c61a3023b | https://chromium.googlesource.com/v8/v8/+/e379c539eac7ade505e8625116f35b1288572959,https://chromium-review.googlesource.com/c/v8/v8/+/5922878 | https://chromium-review.googlesource.com/c/v8/v8/+/5925262 | https://chromium-review.googlesource.com/c/v8/v8/+/5928643 | https://chromium-review.googlesource.com/c/v8/v8/+/5937805 | https://chromium-review.googlesource.com/c/v8/v8/+/5937812 | https://chromium-review.googlesource.com/c/v8/v8/+/5937253,[wasm] Fix default externref/exnref reference | [turboshaft][wasm] Add tracing for WasmGCTypeAnalyzer | [turboshaft][wasm] WasmGCTypedOptimizationReducer: Emit unconditional traps | [turboshaft-wasm] Use uninhabited instead of bottom type for unconditional trap paths | Merged: [wasm] Fix default externref/exnref reference | [M126-LTS][wasm] Fix default externref/exnref reference
CVE-2024-9602,High,$55000,368241697,https://issues.chromium.org/issues/368241697,Type Confusion in V8,Seunghyun Lee (@0x10n),2024-09-20,2024-10-08T13:00:00.000-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-desktop_8.html,https://chromium.googlesource.com/v8/v8/+/9542895cdd3dbd97da3d9032ddb36fd4feb612e4 | https://chromium.googlesource.com/v8/v8/+/213d3905d02d6ee87bb519361b3fb6cdb181ccb7 | https://chromium.googlesource.com/v8/v8/+/94b35ad3dcb53090f89d36ca19ef07a55f5c3141 | https://chromium.googlesource.com/v8/v8/+/c6839beb1b8bbb9156859ae68c0859fc026282b3 | https://chromium.googlesource.com/v8/v8/+/4f4cd3f00975cc6efa2600426f6c2a4c60ea54f1,https://chromium-review.googlesource.com/c/v8/v8/+/5886728 | https://chromium-review.googlesource.com/c/v8/v8/+/5904119 | https://chromium-review.googlesource.com/c/v8/v8/+/5904120 | https://chromium-review.googlesource.com/c/v8/v8/+/5904101 | https://chromium-review.googlesource.com/c/v8/v8/+/5905241,[wasm][streaming] Properly check max module size | Merged: [wasm][streaming] Properly check max module size | Merged: [wasm][streaming] Properly check max module size | Merged: [wasm][streaming] Properly check max module size | [M126-LTS][wasm][streaming] Properly check max module size
CVE-2024-9603,High,TBD,367818758,https://issues.chromium.org/issues/367818758,Type Confusion in V8,@WeShotTheMoon and @Nguyen Hoang Thach of starlabs,2024-09-18,2024-10-08T13:00:00.000-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-desktop_8.html,https://chromium.googlesource.com/v8/v8/+/81155a8f3b20fbfc7e36c2419f5326f1d0ad7d75 | https://chromium.googlesource.com/v8/v8/+/6e1cc25a916c24d2f89a853a3e2215a4b88b053a,https://chromium-review.googlesource.com/c/v8/v8/+/5901846 | https://chromium-review.googlesource.com/c/v8/v8/+/5915174,[turbofan] Consider WasmStruct in InferHasInPrototypeChain | [M126-LTS][turbofan] Consider WasmStruct in InferHasInPrototypeChain
CVE-2024-9370,High,TBD,368311899,https://issues.chromium.org/issues/368311899,Inappropriate implementation in V8,"Nguyễn Hoàng Thạch, Đỗ Minh Tuấn, and Wu JinLin of STAR Labs SG Pte. Ltd.",2024-09-19,2024-10-01T17:11:00.000-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/6b455eb2c448348b940728241c799c5d7b508c51,https://chromium-review.googlesource.com/c/v8/v8/+/5881775,[maglev] Fix non-materialized receiver & closure
CVE-2024-8904,High,$55000,365376497,https://issues.chromium.org/issues/365376497,Type Confusion in V8,Popax21,2024-09-08,2024-10-01T11:59:00.000-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-chromeos.html,https://chromium.googlesource.com/v8/v8/+/906e41b88fa5b79d2afc699f8c4da87c4eb9c7e5 | https://chromium.googlesource.com/v8/v8/+/208862261fe346f83786703da16c1872ebe1e579,https://chromium-review.googlesource.com/c/v8/v8/+/5850428 | https://chromium-review.googlesource.com/c/v8/v8/+/6244297,[wasm][jspi] Fix JSPI + lazy deopt | [wasm] Add regression test
CVE-2024-8905,Medium,$8000,359949835,https://issues.chromium.org/issues/359949835,Inappropriate implementation in V8,Ganjiang Zhou(@refrain_areu) of ChaMd5-H1 team,2024-08-15,2024-10-01T11:59:00.000-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-chromeos.html,https://chromium.googlesource.com/v8/v8/+/aa2cbd9e4ed70238694e07f1c525941aa1e04429 | https://chromium.googlesource.com/v8/v8/+/77a4fa1eb196387d3f010efe64039cbbb2d2f0c0,https://chromium-review.googlesource.com/c/v8/v8/+/5804141 | https://chromium-review.googlesource.com/c/v8/v8/+/5874951,[wasm][wrapper] Don't store converted references in arguments | [M126-LTS][wasm][wrapper] Don't store converted references in arguments
CVE-2024-9121,High,$8000,363538434,https://issues.chromium.org/issues/363538434,Inappropriate implementation in V8,Tashita Software Security,2024-09-01,2024-10-01T11:59:00.000-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-chromeos.html,https://chromium.googlesource.com/v8/v8/+/8068f489ec2c7e9de15e179c8c25b45224f7f96f,https://chromium-review.googlesource.com/c/v8/v8/+/5850479,[parser] Fix initializer ids w/ computed property names
CVE-2024-9122,High,TBD,365802567,https://issues.chromium.org/issues/365802567,Type Confusion in V8,Seunghyun Lee (@0x10n),2024-09-10,2024-10-01T11:59:00.000-07:00,https://chromereleases.googleblog.com/2024/10/stable-channel-update-for-chromeos.html,https://chromium.googlesource.com/v8/v8/+/f612d9a40b194cc7fc1d9cffdd295a78fa2f10c9 | https://chromium.googlesource.com/v8/v8/+/96a23b247ddfe5d0f3d3b42a63488de6806d0bd1 | https://chromium.googlesource.com/v8/v8/+/7c7d282be9725978c6bd319fee146a905b60fcc2,https://chromium-review.googlesource.com/c/v8/v8/+/5868875 | https://chromium-review.googlesource.com/c/v8/v8/+/5872320 | https://chromium-review.googlesource.com/c/v8/v8/+/6239893,[wasm] Check strict type equality for Tag imports | [M126-LTS][wasm] Check strict type equality for Tag imports | [wasm][test] Add regression test
CVE-2024-8638,High,TBD,362539773,https://issues.chromium.org/issues/362539773,Type Confusion in V8,Zhenghang Xiao (@Kipreyyy),2024-08-28,2024-09-10T15:20:00.000-07:00,https://chromereleases.googleblog.com/2024/09/stable-channel-update-for-desktop_10.html,https://chromium.googlesource.com/v8/v8/+/7860c9605e30623eb81129250790aa44757f0e4b | https://chromium.googlesource.com/v8/v8/+/76b279609a9450c95e6315fe473980c63449f391 | https://chromium.googlesource.com/v8/v8/+/46dfd106f935c5afa1320ebdb0870be526f37ef0 | https://chromium.googlesource.com/v8/v8/+/d9b653416a870081c32fa8b7eeccec9264b56d88 | https://chromium.googlesource.com/v8/v8/+/50645cf964ba96cf44c75fed9790d981a5dd9010,https://chromium-review.googlesource.com/c/v8/v8/+/5822928 | https://chromium-review.googlesource.com/c/v8/v8/+/5822930 | https://chromium-review.googlesource.com/c/v8/v8/+/5824994 | https://chromium-review.googlesource.com/c/v8/v8/+/5836662 | https://chromium-review.googlesource.com/c/v8/v8/+/5876288,"[wasm] Skip WasmJSFunctions in js-to-wasm wrapper tier-up | [wasm] Remove flag implication between JSPI and type reflection | Revert ""[wasm] Remove flag implication between JSPI and type reflection"" | Reland ""[wasm] Remove flag implication between JSPI and type reflection"" | [wasm] Add some regression tests"
CVE-2024-7965,High,$11000,356196918,https://issues.chromium.org/issues/356196918,Inappropriate implementation in V8,TheDog,2024-07-30,2024-09-09T16:45:00.000-07:00,https://chromereleases.googleblog.com/2024/09/stable-channel-update-for-chromeos_9.html,https://chromium.googlesource.com/v8/v8/+/780d5608bb8ab63a3cd4b5c4846a3ec41e21c1a8 | https://chromium.googlesource.com/v8/v8/+/1ac90a0b0f77355c97ebf24635a61e29ed993e68 | https://chromium.googlesource.com/v8/v8/+/bd5ec8a926ecefb8fa37e435dbc0d2f46b9b03c8 | https://chromium.googlesource.com/v8/v8/+/8302e3d79bc1cf84f6939a58796960e034bbeb6f | https://chromium.googlesource.com/v8/v8/+/79c429b44b69b92033c7c132b4ceeadc9205c3b8 | https://chromium.googlesource.com/v8/v8/+/1e1a20737fa5143d1e782e8eef739fec01680683 | https://chromium.googlesource.com/v8/v8/+/c432b5e696ae4ff846bddad9efe0c29798921d2a,https://chromium-review.googlesource.com/c/v8/v8/+/5766478 | https://chromium-review.googlesource.com/c/v8/v8/+/5782657 | https://chromium-review.googlesource.com/c/v8/v8/+/5809258 | https://chromium-review.googlesource.com/c/v8/v8/+/5803612 | https://chromium-review.googlesource.com/c/v8/v8/+/5807474 | https://chromium-review.googlesource.com/c/v8/v8/+/5789878 | https://chromium-review.googlesource.com/c/v8/v8/+/5906045,[compiler] Clear stale data for ZeroExtendsWord32ToWord64 | Merged: [compiler] Clear stale data for ZeroExtendsWord32ToWord64 | [M127][compiler] Clear stale data for ZeroExtendsWord32ToWord64 | [M126][compiler] Clear stale data for ZeroExtendsWord32ToWord64 | [M126-LTS][compiler] Clear stale data for ZeroExtendsWord32ToWord64 | [M120-LTS][compiler] Clear stale data for ZeroExtendsWord32ToWord64 | Fix regression in instruction selection speed
CVE-2024-7971,High,TBD,360700873,https://issues.chromium.org/issues/360700873,Type confusion in V8,"Microsoft Threat Intelligence Center (MSTIC), Microsoft Security Response Center (MSRC)",2024-08-19,2024-09-09T16:45:00.000-07:00,https://chromereleases.googleblog.com/2024/09/stable-channel-update-for-chromeos_9.html,https://chromium.googlesource.com/v8/v8/+/97975764885482e92e53f65352446b5c4ea68f20 | https://chromium.googlesource.com/v8/v8/+/3e7a30779425dedf87f20e27a5f2cf0505f0d7b2 | https://chromium.googlesource.com/v8/v8/+/3d37a0648a9395f08222eb9056290d886f037999 | https://chromium.googlesource.com/v8/v8/+/5a1e7339675b6fbe5541cc6cb647392a5d1a0047 | https://chromium.googlesource.com/v8/v8/+/ae63f970bc7b14a10d6819bbe5fe1aef6f1645c0 | https://chromium.googlesource.com/v8/v8/+/e333913fcba053da4bf977f78b5f3520523c01be | https://chromium.googlesource.com/v8/v8/+/9d79b3bac9189a5b9782a78c360f2f8813959cd4 | https://chromium.googlesource.com/v8/v8/+/c60fa7fbf082e2a5b8dd5ca0350091770c6cc0c2 | https://chromium.googlesource.com/v8/v8/+/4ddcbf22b7be0a30c88c1485f0b5e4863d9aefd7,https://chromium-review.googlesource.com/c/v8/v8/+/5797073 | https://chromium-review.googlesource.com/c/v8/v8/+/5800629 | https://chromium-review.googlesource.com/c/v8/v8/+/5800569 | https://chromium-review.googlesource.com/c/v8/v8/+/5797118 | https://chromium-review.googlesource.com/c/v8/v8/+/5804782 | https://chromium-review.googlesource.com/c/v8/v8/+/5804783 | https://chromium-review.googlesource.com/c/v8/v8/+/5803903 | https://chromium-review.googlesource.com/c/v8/v8/+/5808034 | https://chromium-review.googlesource.com/c/v8/v8/+/5816951,[wasm] Spill all loop inputs before entering loop | [wasm] Spill all loop inputs before entering loop | Merged: [wasm] Spill all loop inputs before entering loop | Merged: [wasm] Spill all loop inputs before entering loop | [M120-LTS][wasm] Spill all loop inputs before entering loop | [M127][wasm] Spill all loop inputs before entering loop | [M126][wasm] Spill all loop inputs before entering loop | [M120-LTS][wasm] Spill all loop inputs before entering loop | [liftoff] Add DCHECK and regression test
CVE-2024-7972,Medium,$11000,345960102,https://issues.chromium.org/issues/345960102,Inappropriate implementation in V8,Simon Gerst (intrigus-lgtm),2024-06-10,2024-09-09T16:45:00.000-07:00,https://chromereleases.googleblog.com/2024/09/stable-channel-update-for-chromeos_9.html,https://chromium.googlesource.com/v8/v8/+/1b85c84da74a325826f4e940d1affee9d94c8beb,https://chromium-review.googlesource.com/c/v8/v8/+/5656773,[turbofan] Skip 64 bit BigInt shift optimizations if not precise
